displayName,Position,BaseSalary,SigningBonus,RosterBonus,OptionBonus,WorkoutBonus,RestructuringBonus,Misc.,DeadCap,CapHit,CapPercentage,Team,TeamBaseSalary,TeamSigningBonus,TeamCapHit,TeamPercentageOfCapUsed
Larry Fitzgerald,WR,"$11,000,000 ","$2,500,000 ",-,"$2,350,000 ",-,-,"$1,000,000 ","($15,850,000)","$16,850,000 ",9.42,Arizona Cardinals,"$75,111,527 ","$23,557,016 ","$107,921,249 ",60.36
Chandler Jones,DE,"$12,500,000 ","$3,000,000 ",-,-,-,-,-,"($36,000,000)","$15,500,000 ",8.67,Arizona Cardinals,"$75,111,527 ","$23,557,016 ","$107,921,249 ",60.36
Patrick Peterson,CB,"$11,000,000 ","$3,072,377 ",-,-,"$250,000 ","$634,588 ",-,"($16,226,141)","$14,956,965 ",8.37,Arizona Cardinals,"$75,111,527 ","$23,557,016 ","$107,921,249 ",60.36
Deone Bucannon,OLB,"$8,718,000 ",-,-,-,-,-,-,"($8,718,000)","$8,718,000 ",4.88,Arizona Cardinals,"$75,111,527 ","$23,557,016 ","$107,921,249 ",60.36
Jermaine Gresham,TE,"$5,250,000 ","$1,750,000 ","$218,750 ",-,-,-,-,"($12,750,000)","$7,218,750 ",4.04,Arizona Cardinals,"$75,111,527 ","$23,557,016 ","$107,921,249 ",60.36
David Johnson,RB,"$1,882,500 ","$3,159,844 ",-,-,-,-,-,"($24,266,844)","$5,042,344 ",2.82,Arizona Cardinals,"$75,111,527 ","$23,557,016 ","$107,921,249 ",60.36
Antoine Bethea,FS,"$1,015,000 ","$666,666 ","$234,375 ",-,-,"$1,492,500 ","$250,000 ","($5,333,336)","$3,658,541 ",2.05,Arizona Cardinals,"$75,111,527 ","$23,557,016 ","$107,921,249 ",60.36
Josh Rosen,QB,"$480,000 ","$2,719,592 ",-,-,-,-,-,"($17,597,756)","$3,199,592 ",1.79,Arizona Cardinals,"$75,111,527 ","$23,557,016 ","$107,921,249 ",60.36
Haason Reddick,OLB,"$1,077,635 ","$1,985,539 ",-,-,-,-,-,"($5,956,618)","$3,063,174 ",1.71,Arizona Cardinals,"$75,111,527 ","$23,557,016 ","$107,921,249 ",60.36
Corey Peters,DT,"$1,250,000 ","$687,500 ","$703,125 ",-,-,-,-,"($3,312,500)","$2,640,625 ",1.48,Arizona Cardinals,"$75,111,527 ","$23,557,016 ","$107,921,249 ",60.36
Andy Lee,P,"$1,015,000 ","$362,500 ","$1,250,000 ",-,-,-,-,"($2,377,500)","$2,627,500 ",1.47,Arizona Cardinals,"$75,111,527 ","$23,557,016 ","$107,921,249 ",60.36
Tre Boston,FS,"$1,000,000 ","$300,000 ","$175,000 ",-,-,-,"$1,000,000 ","($1,300,000)","$2,475,000 ",1.38,Arizona Cardinals,"$75,111,527 ","$23,557,016 ","$107,921,249 ",60.36
Mike Glennon,QB,"$1,000,000 ","$1,000,000 ",-,-,-,-,-,"($5,000,000)","$2,000,000 ",1.12,Arizona Cardinals,"$75,111,527 ","$23,557,016 ","$107,921,249 ",60.36
J.J. Nelson,WR,"$1,907,000 ","$52,450 ",-,-,-,-,-,"($52,450)","$1,959,450 ",1.1,Arizona Cardinals,"$75,111,527 ","$23,557,016 ","$107,921,249 ",60.36
Budda Baker,SS,"$775,455 ","$776,819 ",-,-,-,-,-,"($3,105,913)","$1,552,274 ",0.87,Arizona Cardinals,"$75,111,527 ","$23,557,016 ","$107,921,249 ",60.36
Benson Mayowa,DE,"$790,000 ","$310,000 ","$234,375 ",-,-,-,-,"($1,100,000)","$1,334,375 ",0.75,Arizona Cardinals,"$75,111,527 ","$23,557,016 ","$107,921,249 ",60.36
Markus Golden,DE,"$969,318 ","$277,424 ",-,-,-,-,-,"($277,424)","$1,246,742 ",0.7,Arizona Cardinals,"$75,111,527 ","$23,557,016 ","$107,921,249 ",60.36
Aaron Brewer,LS,"$790,000 ","$68,750 ","$25,000 ",-,-,-,-,"($1,065,000)","$883,750 ",0.49,Arizona Cardinals,"$75,111,527 ","$23,557,016 ","$107,921,249 ",60.36
Rodney Gunter,DT,"$705,000 ","$127,480 ",-,-,-,-,-,"($127,480)","$832,480 ",0.47,Arizona Cardinals,"$75,111,527 ","$23,557,016 ","$107,921,249 ",60.36
Brandon Williams,CB,"$656,000 ","$168,173 ",-,-,-,-,-,"($336,349)","$824,173 ",0.46,Arizona Cardinals,"$75,111,527 ","$23,557,016 ","$107,921,249 ",60.36
Chad Williams,WR,"$581,500 ","$176,572 ",-,-,-,-,-,"($529,716)","$758,072 ",0.42,Arizona Cardinals,"$75,111,527 ","$23,557,016 ","$107,921,249 ",60.36
Zach Moore,DE,"$705,000 ",-,-,-,-,-,-,-,"$705,000 ",0.39,Arizona Cardinals,"$75,111,527 ","$23,557,016 ","$107,921,249 ",60.36
Mason Cole,C,"$480,000 ","$190,379 ",-,-,-,-,-,"($761,516)","$670,379 ",0.37,Arizona Cardinals,"$75,111,527 ","$23,557,016 ","$107,921,249 ",60.36
Derrick Coleman,FB,"$790,000 ",-,-,-,-,-,-,"($790,000)","$630,000 ",0.35,Arizona Cardinals,"$75,111,527 ","$23,557,016 ","$107,921,249 ",60.36
Gerald Hodges,OLB,"$790,000 ",-,-,-,-,-,-,"($790,000)","$630,000 ",0.35,Arizona Cardinals,"$75,111,527 ","$23,557,016 ","$107,921,249 ",60.36
Chase Edmonds,RB,"$480,000 ","$113,089 ",-,-,-,-,-,"($452,359)","$593,089 ",0.33,Arizona Cardinals,"$75,111,527 ","$23,557,016 ","$107,921,249 ",60.36
Johnathan Ford,S,"$555,000 ","$35,045 ",-,-,-,-,-,"($105,136)","$590,045 ",0.33,Arizona Cardinals,"$75,111,527 ","$23,557,016 ","$107,921,249 ",60.36
Daniel Munyer,C,"$555,000 ",-,-,-,-,-,-,-,"$555,000 ",0.31,Arizona Cardinals,"$75,111,527 ","$23,557,016 ","$107,921,249 ",60.36
Ricky Seals-Jones,TE,"$555,000 ",-,-,-,-,-,-,-,"$555,000 ",0.31,Arizona Cardinals,"$75,111,527 ","$23,557,016 ","$107,921,249 ",60.36
T.J. Logan,RB,"$480,000 ","$50,484 ",-,-,-,-,-,"($151,453)","$530,484 ",0.3,Arizona Cardinals,"$75,111,527 ","$23,557,016 ","$107,921,249 ",60.36
Joe Walker,ILB,"$489,706 ",-,-,-,-,-,-,-,"$489,705 ",0.27,Arizona Cardinals,"$75,111,527 ","$23,557,016 ","$107,921,249 ",60.36
Trent Sherfield,WR,"$480,000 ","$3,333 ",-,-,-,-,-,"($10,000)","$483,333 ",0.27,Arizona Cardinals,"$75,111,527 ","$23,557,016 ","$107,921,249 ",60.36
Dennis Gardeck,OLB,"$480,000 ","$2,000 ",-,-,-,-,-,"($6,000)","$482,000 ",0.27,Arizona Cardinals,"$75,111,527 ","$23,557,016 ","$107,921,249 ",60.36
Ezekiel Turner,S,"$480,000 ","$1,000 ",-,-,-,-,-,"($3,000)","$481,000 ",0.27,Arizona Cardinals,"$75,111,527 ","$23,557,016 ","$107,921,249 ",60.36
Oday Aboushi,G,"$464,710 ",-,-,-,-,-,-,-,"$370,590 ",0.21,Arizona Cardinals,"$75,111,527 ","$23,557,016 ","$107,921,249 ",60.36
John Phillips,TE,"$484,416 ",-,-,-,-,-,-,-,"$333,531 ",0.19,Arizona Cardinals,"$75,111,527 ","$23,557,016 ","$107,921,249 ",60.36
David Amerson,CB,"$278,824 ",-,-,-,-,-,-,-,"$278,824 ",0.16,Arizona Cardinals,"$75,111,527 ","$23,557,016 ","$107,921,249 ",60.36
Colby Gossett,G,"$254,115 ",-,-,-,-,-,-,-,"$254,115 ",0.14,Arizona Cardinals,"$75,111,527 ","$23,557,016 ","$107,921,249 ",60.36
Zack Golditch,G,"$225,880 ",-,-,-,-,-,-,-,"$225,880 ",0.13,Arizona Cardinals,"$75,111,527 ","$23,557,016 ","$107,921,249 ",60.36
Joe Barksdale,RT,"$215,294 ",-,-,-,-,-,-,-,"$215,294 ",0.12,Arizona Cardinals,"$75,111,527 ","$23,557,016 ","$107,921,249 ",60.36
D.J. Swearinger,FS,"$176,471 ",-,-,-,-,-,-,"($5,666,667)","$176,470 ",0.1,Arizona Cardinals,"$75,111,527 ","$23,557,016 ","$107,921,249 ",60.36
Darrell Daniels,TE,"$163,235 ",-,-,-,-,-,-,-,"$163,235 ",0.09,Arizona Cardinals,"$75,111,527 ","$23,557,016 ","$107,921,249 ",60.36
Zane Gonzalez,K,"$163,235 ",-,-,-,-,-,-,-,"$163,235 ",0.09,Arizona Cardinals,"$75,111,527 ","$23,557,016 ","$107,921,249 ",60.36
Will Holden,T,"$163,235 ",-,-,-,-,-,-,-,"$163,235 ",0.09,Arizona Cardinals,"$75,111,527 ","$23,557,016 ","$107,921,249 ",60.36
Cameron Malveaux,DE,"$163,235 ",-,-,-,-,-,-,-,"$163,235 ",0.09,Arizona Cardinals,"$75,111,527 ","$23,557,016 ","$107,921,249 ",60.36
Rees Odhiambo,T,"$148,236 ",-,-,-,-,-,-,-,"$148,236 ",0.08,Arizona Cardinals,"$75,111,527 ","$23,557,016 ","$107,921,249 ",60.36
Vontarrius Dora,OLB,"$130,588 ",-,-,-,-,-,-,-,"$130,588 ",0.07,Arizona Cardinals,"$75,111,527 ","$23,557,016 ","$107,921,249 ",60.36
Jalen Tolliver,WR,"$112,940 ",-,-,-,-,-,-,-,"$112,940 ",0.06,Arizona Cardinals,"$75,111,527 ","$23,557,016 ","$107,921,249 ",60.36
Vincent Valentine,DT,"$97,941 ",-,-,-,-,-,-,-,"$97,941 ",0.05,Arizona Cardinals,"$75,111,527 ","$23,557,016 ","$107,921,249 ",60.36
Pharoh Cooper,WR,"$74,118 ",-,-,-,-,-,-,-,"$74,118 ",0.04,Arizona Cardinals,"$75,111,527 ","$23,557,016 ","$107,921,249 ",60.36
Chris Jones,S,"$56,470 ",-,-,-,-,-,-,-,"$56,470 ",0.03,Arizona Cardinals,"$75,111,527 ","$23,557,016 ","$107,921,249 ",60.36
Malachi Dupre,WR,"$28,235 ",-,-,-,-,-,-,-,"$28,235 ",0.02,Arizona Cardinals,"$75,111,527 ","$23,557,016 ","$107,921,249 ",60.36
Pasoni Tasini,DE,"$28,235 ",-,-,-,-,-,-,-,"$28,235 ",0.02,Arizona Cardinals,"$75,111,527 ","$23,557,016 ","$107,921,249 ",60.36
Mike Iupati,G,"$915,000 ","$1,200,000 ",-,-,-,"$2,542,500 ",-,"($8,400,000)","$4,657,500 ",2.6,Arizona Cardinals,"$75,111,527 ","$23,557,016 ","$107,921,249 ",60.36
(Knee-mcl),,,,,,,,,,,,Arizona Cardinals,"$75,111,527 ","$23,557,016 ","$107,921,249 ",60.36
Phil Dawson,K,"$2,500,000 ","$500,000 ","$500,000 ",-,-,-,-,"($3,500,000)","$3,500,000 ",1.96,Arizona Cardinals,"$75,111,527 ","$23,557,016 ","$107,921,249 ",60.36
(Hip),,,,,,,,,,,,Arizona Cardinals,"$75,111,527 ","$23,557,016 ","$107,921,249 ",60.36
Justin Pugh,G,"$1,000,000 ","$2,000,000 ","$250,000 ",-,-,-,-,"($22,000,000)","$3,250,000 ",1.82,Arizona Cardinals,"$75,111,527 ","$23,557,016 ","$107,921,249 ",60.36
(Knee-mcl),,,,,,,,,,,,Arizona Cardinals,"$75,111,527 ","$23,557,016 ","$107,921,249 ",60.36
D.J. Humphries,LT,"$1,450,288 ","$1,185,384 ",-,-,"$200,000 ",-,-,"($1,385,384)","$2,835,672 ",1.59,Arizona Cardinals,"$75,111,527 ","$23,557,016 ","$107,921,249 ",60.36
(Knee),,,,,,,,,,,,Arizona Cardinals,"$75,111,527 ","$23,557,016 ","$107,921,249 ",60.36
Robert Nkemdiche,DT,"$1,231,873 ","$1,113,745 ",-,-,-,-,-,"($4,582,173)","$2,345,618 ",1.31,Arizona Cardinals,"$75,111,527 ","$23,557,016 ","$107,921,249 ",60.36
(Knee),,,,,,,,,,,,Arizona Cardinals,"$75,111,527 ","$23,557,016 ","$107,921,249 ",60.36
A.Q. Shipley,C,"$790,000 ","$717,500 ",-,-,-,-,-,"($1,862,500)","$1,507,500 ",0.84,Arizona Cardinals,"$75,111,527 ","$23,557,016 ","$107,921,249 ",60.36
(Knee-acl),,,,,,,,,,,,Arizona Cardinals,"$75,111,527 ","$23,557,016 ","$107,921,249 ",60.36
Josh Bynes,ILB,"$790,000 ","$333,333 ","$127,182 ",-,-,-,-,"($1,790,000)","$1,250,515 ",0.7,Arizona Cardinals,"$75,111,527 ","$23,557,016 ","$107,921,249 ",60.36
(Thumb),,,,,,,,,,,,Arizona Cardinals,"$75,111,527 ","$23,557,016 ","$107,921,249 ",60.36
Christian Kirk,WR,"$480,000 ","$591,794 ",-,-,-,-,-,"($3,595,124)","$1,071,794 ",0.6,Arizona Cardinals,"$75,111,527 ","$23,557,016 ","$107,921,249 ",60.36
(Foot),,,,,,,,,,,,Arizona Cardinals,"$75,111,527 ","$23,557,016 ","$107,921,249 ",60.36
Jeremy Cash,OLB,"$630,000 ",-,-,-,-,-,-,-,"$630,000 ",0.35,Arizona Cardinals,"$75,111,527 ","$23,557,016 ","$107,921,249 ",60.36
(Knee),,,,,,,,,,,,Arizona Cardinals,"$75,111,527 ","$23,557,016 ","$107,921,249 ",60.36
Olsen Pierre,DT,"$630,000 ",-,-,-,-,-,-,-,"$630,000 ",0.35,Arizona Cardinals,"$75,111,527 ","$23,557,016 ","$107,921,249 ",60.36
(Knee),,,,,,,,,,,,Arizona Cardinals,"$75,111,527 ","$23,557,016 ","$107,921,249 ",60.36
Jeremy Vujnovich,LT,"$630,000 ",-,-,-,-,-,-,-,"$630,000 ",0.35,Arizona Cardinals,"$75,111,527 ","$23,557,016 ","$107,921,249 ",60.36
(Hamstring),,,,,,,,,,,,Arizona Cardinals,"$75,111,527 ","$23,557,016 ","$107,921,249 ",60.36
John Wetzel,RT,"$630,000 ",-,-,-,-,-,-,-,"$630,000 ",0.35,Arizona Cardinals,"$75,111,527 ","$23,557,016 ","$107,921,249 ",60.36
(Neck),,,,,,,,,,,,Arizona Cardinals,"$75,111,527 ","$23,557,016 ","$107,921,249 ",60.36
Korey Cunningham,T,"$473,112 ","$17,267 ",-,-,-,-,-,"($69,070)","$490,379 ",0.27,Arizona Cardinals,"$75,111,527 ","$23,557,016 ","$107,921,249 ",60.36
(Calf),,,,,,,,,,,,Arizona Cardinals,"$75,111,527 ","$23,557,016 ","$107,921,249 ",60.36
D.J. Foster,WR,"$393,000 ",-,-,-,-,-,-,-,"$393,000 ",0.22,Arizona Cardinals,"$75,111,527 ","$23,557,016 ","$107,921,249 ",60.36
(Knee),,,,,,,,,,,,Arizona Cardinals,"$75,111,527 ","$23,557,016 ","$107,921,249 ",60.36
Gabe Martin,ILB,"$393,000 ",-,-,-,-,-,-,-,"$393,000 ",0.22,Arizona Cardinals,"$75,111,527 ","$23,557,016 ","$107,921,249 ",60.36
(Knee-acl),,,,,,,,,,,,Arizona Cardinals,"$75,111,527 ","$23,557,016 ","$107,921,249 ",60.36
Jonathan Owens,S,"$363,000 ","$4,000 ",-,-,-,-,-,"($12,000)","$367,000 ",0.21,Arizona Cardinals,"$75,111,527 ","$23,557,016 ","$107,921,249 ",60.36
(Knee),,,,,,,,,,,,Arizona Cardinals,"$75,111,527 ","$23,557,016 ","$107,921,249 ",60.36
Thurston Armbrister,OLB,"$185,295 ",-,-,-,-,-,-,-,"$185,295 ",0.1,Arizona Cardinals,"$75,111,527 ","$23,557,016 ","$107,921,249 ",60.36
(Hamstring),,,,,,,,,,,,Arizona Cardinals,"$75,111,527 ","$23,557,016 ","$107,921,249 ",60.36
Matt Ryan,QB,"$6,000,000 ","$9,300,000 ",-,"$2,400,000 ",-,-,-,"($96,900,000)","$17,700,000 ",9.93,Atlanta Falcons,"$97,467,616 ","$34,590,391 ","$141,338,061 ",79.26
Desmond Trufant,CB,"$8,500,000 ","$3,000,000 ",-,"$1,400,000 ",-,-,-,"($27,500,000)","$12,900,000 ",7.23,Atlanta Falcons,"$97,467,616 ","$34,590,391 ","$141,338,061 ",79.26
Julio Jones,WR,"$9,000,000 ","$2,400,000 ",-,-,-,"$1,466,667 ",-,"($18,200,000)","$12,866,667 ",7.22,Atlanta Falcons,"$97,467,616 ","$34,590,391 ","$141,338,061 ",79.26
Alex Mack,C,"$8,500,000 ","$2,300,000 ",-,-,-,"$250,000 ",-,"($16,150,000)","$11,050,000 ",6.2,Atlanta Falcons,"$97,467,616 ","$34,590,391 ","$141,338,061 ",79.26
Robert Alford,CB,"$9,000,000 ","$600,000 ",-,-,-,-,-,"($10,800,000)","$9,600,000 ",5.38,Atlanta Falcons,"$97,467,616 ","$34,590,391 ","$141,338,061 ",79.26
Jake Matthews,LT,"$5,500,000 ","$2,789,200 ",-,-,-,-,-,"($36,746,000)","$8,289,200 ",4.65,Atlanta Falcons,"$97,467,616 ","$34,590,391 ","$141,338,061 ",79.26
Mohamed Sanu,WR,"$6,125,000 ","$1,400,000 ",-,-,-,-,-,"($10,325,000)","$7,525,000 ",4.22,Atlanta Falcons,"$97,467,616 ","$34,590,391 ","$141,338,061 ",79.26
Ryan Schraeder,RT,"$5,000,000 ","$100,000 ","$200,000 ",-,-,"$1,200,000 ",-,"($10,100,000)","$6,500,000 ",3.65,Atlanta Falcons,"$97,467,616 ","$34,590,391 ","$141,338,061 ",79.26
Vic Beasley,DE,"$705,000 ","$2,200,496 ","$1,706,622 ",-,-,-,-,"($2,905,496)","$4,612,118 ",2.59,Atlanta Falcons,"$97,467,616 ","$34,590,391 ","$141,338,061 ",79.26
Matt Schaub,QB,"$2,750,000 ","$1,250,000 ","$500,000 ",-,-,-,-,"($4,500,000)","$4,500,000 ",2.52,Atlanta Falcons,"$97,467,616 ","$34,590,391 ","$141,338,061 ",79.26
Brooks Reed,DE,"$3,000,000 ","$940,000 ",-,-,-,-,-,"($4,880,000)","$3,940,000 ",2.21,Atlanta Falcons,"$97,467,616 ","$34,590,391 ","$141,338,061 ",79.26
Jack Crawford,DT,"$2,250,000 ","$833,333 ","$275,000 ",-,-,-,-,"($3,916,667)","$3,358,333 ",1.88,Atlanta Falcons,"$97,467,616 ","$34,590,391 ","$141,338,061 ",79.26
Ben Garland,G,"$2,914,000 ",-,-,-,-,-,-,-,"$2,914,000 ",1.63,Atlanta Falcons,"$97,467,616 ","$34,590,391 ","$141,338,061 ",79.26
Matt Bosher,P,"$2,200,000 ","$500,000 ",-,-,-,-,-,"($2,700,000)","$2,700,000 ",1.51,Atlanta Falcons,"$97,467,616 ","$34,590,391 ","$141,338,061 ",79.26
Takkarist McKinley,DE,"$929,388 ","$1,392,551 ",-,-,-,-,-,"($6,500,816)","$2,321,939 ",1.3,Atlanta Falcons,"$97,467,616 ","$34,590,391 ","$141,338,061 ",79.26
Matt Bryant,K,"$1,100,000 ","$666,666 ",-,-,-,-,"$400,000 ","($3,100,000)","$2,166,666 ",1.22,Atlanta Falcons,"$97,467,616 ","$34,590,391 ","$141,338,061 ",79.26
Calvin Ridley,WR,"$480,000 ","$1,501,947 ",-,-,-,-,-,"($8,454,251)","$1,981,947 ",1.11,Atlanta Falcons,"$97,467,616 ","$34,590,391 ","$141,338,061 ",79.26
Grady Jarrett,DT,"$1,907,000 ","$61,964 ",-,-,-,-,-,"($61,964)","$1,968,964 ",1.1,Atlanta Falcons,"$97,467,616 ","$34,590,391 ","$141,338,061 ",79.26
Justin Bethel,CB,"$850,000 ","$400,000 ","$437,500 ",-,-,-,-,"($1,250,000)","$1,687,500 ",0.95,Atlanta Falcons,"$97,467,616 ","$34,590,391 ","$141,338,061 ",79.26
Bruce Irvin,DE,"$1,500,000 ",-,-,-,-,-,-,-,"$1,500,000 ",0.84,Atlanta Falcons,"$97,467,616 ","$34,590,391 ","$141,338,061 ",79.26
Terrell McClain,DT,"$825,000 ","$500,000 ","$162,500 ",-,-,-,-,"($1,325,000)","$1,487,500 ",0.83,Atlanta Falcons,"$97,467,616 ","$34,590,391 ","$141,338,061 ",79.26
Deion Jones,ILB,"$863,240 ","$376,479 ",-,-,-,-,-,"($752,961)","$1,239,719 ",0.7,Atlanta Falcons,"$97,467,616 ","$34,590,391 ","$141,338,061 ",79.26
Kemal Ishmael,SS,"$790,000 ","$210,000 ",-,-,-,-,-,"($1,000,000)","$1,000,000 ",0.56,Atlanta Falcons,"$97,467,616 ","$34,590,391 ","$141,338,061 ",79.26
Tevin Coleman,RB,"$791,628 ","$186,311 ",-,-,-,-,-,"($186,311)","$977,939 ",0.55,Atlanta Falcons,"$97,467,616 ","$34,590,391 ","$141,338,061 ",79.26
Ty Sambrailo,LT,"$959,447 ",-,-,-,-,-,-,-,"$959,447 ",0.54,Atlanta Falcons,"$97,467,616 ","$34,590,391 ","$141,338,061 ",79.26
Jordan Richards,SS,"$941,121 ",-,-,-,-,-,-,-,"$941,121 ",0.53,Atlanta Falcons,"$97,467,616 ","$34,590,391 ","$141,338,061 ",79.26
Isaiah Oliver,CB,"$480,000 ","$363,026 ",-,-,-,-,-,"($2,142,861)","$843,026 ",0.47,Atlanta Falcons,"$97,467,616 ","$34,590,391 ","$141,338,061 ",79.26
Justin Hardy,WR,"$705,000 ","$135,206 ",-,-,-,-,-,"($135,206)","$840,206 ",0.47,Atlanta Falcons,"$97,467,616 ","$34,590,391 ","$141,338,061 ",79.26
Duke Riley,OLB,"$616,500 ","$222,438 ",-,-,-,-,-,"($667,314)","$838,938 ",0.47,Atlanta Falcons,"$97,467,616 ","$34,590,391 ","$141,338,061 ",79.26
Austin Hooper,TE,"$630,000 ","$193,357 ",-,-,-,-,-,"($386,714)","$823,357 ",0.46,Atlanta Falcons,"$97,467,616 ","$34,590,391 ","$141,338,061 ",79.26
De'Vondre Campbell,OLB,"$630,000 ","$141,382 ",-,-,-,-,-,"($282,764)","$771,382 ",0.43,Atlanta Falcons,"$97,467,616 ","$34,590,391 ","$141,338,061 ",79.26
Logan Paulsen,TE,"$915,000 ","$90,000 ",-,-,-,-,-,"($1,005,000)","$720,000 ",0.4,Atlanta Falcons,"$97,467,616 ","$34,590,391 ","$141,338,061 ",79.26
Blidi Wreh-Wilson,CB,"$790,000 ","$90,000 ",-,-,-,-,-,"($880,000)","$720,000 ",0.4,Atlanta Falcons,"$97,467,616 ","$34,590,391 ","$141,338,061 ",79.26
Deadrin Senat,DT,"$480,000 ","$204,490 ",-,-,-,-,-,"($817,960)","$684,490 ",0.38,Atlanta Falcons,"$97,467,616 ","$34,590,391 ","$141,338,061 ",79.26
Wes Schweitzer,G,"$630,000 ","$33,095 ",-,-,-,-,-,"($66,191)","$663,095 ",0.37,Atlanta Falcons,"$97,467,616 ","$34,590,391 ","$141,338,061 ",79.26
Brian Poole,LB,"$630,000 ","$1,168 ",-,-,-,-,-,"($1,168)","$631,168 ",0.35,Atlanta Falcons,"$97,467,616 ","$34,590,391 ","$141,338,061 ",79.26
Damontae Kazee,SS,"$555,000 ","$72,230 ",-,-,-,-,-,"($216,690)","$627,230 ",0.35,Atlanta Falcons,"$97,467,616 ","$34,590,391 ","$141,338,061 ",79.26
Eric Saubert,TE,"$555,000 ","$56,847 ",-,-,-,-,-,"($170,541)","$611,847 ",0.34,Atlanta Falcons,"$97,467,616 ","$34,590,391 ","$141,338,061 ",79.26
Steven Means,DE,"$790,000 ",-,-,-,-,-,-,-,"$592,941 ",0.33,Atlanta Falcons,"$97,467,616 ","$34,590,391 ","$141,338,061 ",79.26
Marvin Hall,WR,"$555,000 ",-,-,-,-,-,-,-,"$555,000 ",0.31,Atlanta Falcons,"$97,467,616 ","$34,590,391 ","$141,338,061 ",79.26
Brian Hill,RB,"$522,353 ",-,-,-,-,-,-,-,"$522,352 ",0.29,Atlanta Falcons,"$97,467,616 ","$34,590,391 ","$141,338,061 ",79.26
Russell Gage,WR,"$480,000 ","$39,048 ",-,-,-,-,-,"($156,194)","$519,048 ",0.29,Atlanta Falcons,"$97,467,616 ","$34,590,391 ","$141,338,061 ",79.26
Bruce Carter,ILB,"$753,529 ",-,-,-,-,-,-,-,"$518,824 ",0.29,Atlanta Falcons,"$97,467,616 ","$34,590,391 ","$141,338,061 ",79.26
Sharrod Neasman,S,"$518,824 ",-,-,-,-,-,-,-,"$518,823 ",0.29,Atlanta Falcons,"$97,467,616 ","$34,590,391 ","$141,338,061 ",79.26
Foyesade Oluokun,ILB,"$480,000 ","$36,657 ",-,-,-,-,-,"($146,629)","$516,657 ",0.29,Atlanta Falcons,"$97,467,616 ","$34,590,391 ","$141,338,061 ",79.26
Matt Gono,T,"$480,000 ","$2,500 ",-,-,-,-,-,"($7,500)","$482,500 ",0.27,Atlanta Falcons,"$97,467,616 ","$34,590,391 ","$141,338,061 ",79.26
Ricky Ortiz,FB,"$480,000 ",-,-,-,-,-,-,-,"$480,000 ",0.27,Atlanta Falcons,"$97,467,616 ","$34,590,391 ","$141,338,061 ",79.26
Giorgio Tavecchio,K,"$359,117 ",-,-,-,-,-,-,-,"$359,117 ",0.2,Atlanta Falcons,"$97,467,616 ","$34,590,391 ","$141,338,061 ",79.26
Zane Beadles,G,"$484,412 ",-,-,-,-,-,-,-,"$333,531 ",0.19,Atlanta Falcons,"$97,467,616 ","$34,590,391 ","$141,338,061 ",79.26
Jon Condo,LS,"$238,824 ",-,-,-,-,-,-,-,"$148,236 ",0.08,Atlanta Falcons,"$97,467,616 ","$34,590,391 ","$141,338,061 ",79.26
Ryan Neal,FS,"$141,175 ",-,-,-,-,-,-,-,"$141,175 ",0.08,Atlanta Falcons,"$97,467,616 ","$34,590,391 ","$141,338,061 ",79.26
Justin Zimmer,DT,"$112,940 ",-,-,-,-,-,-,-,"$112,940 ",0.06,Atlanta Falcons,"$97,467,616 ","$34,590,391 ","$141,338,061 ",79.26
Jeremy Langford,RB,"$74,118 ",-,-,-,-,-,-,-,"$74,118 ",0.04,Atlanta Falcons,"$97,467,616 ","$34,590,391 ","$141,338,061 ",79.26
Andy Levitre,G,"$3,500,000 ",-,"$125,000 ",-,-,"$1,375,000 ",-,"($4,875,000)","$5,000,000 ",2.8,Atlanta Falcons,"$97,467,616 ","$34,590,391 ","$141,338,061 ",79.26
(Arm),,,,,,,,,,,,Atlanta Falcons,"$97,467,616 ","$34,590,391 ","$141,338,061 ",79.26
Devonta Freeman,RB,"$2,000,000 ","$3,000,000 ",-,-,-,-,-,"($14,000,000)","$5,000,000 ",2.8,Atlanta Falcons,"$97,467,616 ","$34,590,391 ","$141,338,061 ",79.26
(Groin),,,,,,,,,,,,Atlanta Falcons,"$97,467,616 ","$34,590,391 ","$141,338,061 ",79.26
Ricardo Allen,FS,"$1,914,000 ","$1,375,000 ",-,-,-,-,-,"($7,414,000)","$3,289,000 ",1.84,Atlanta Falcons,"$97,467,616 ","$34,590,391 ","$141,338,061 ",79.26
(Knee-acl),,,,,,,,,,,,Atlanta Falcons,"$97,467,616 ","$34,590,391 ","$141,338,061 ",79.26
Brandon Fusco,G,"$2,250,000 ","$750,000 ",-,-,-,-,-,"($4,500,000)","$3,000,000 ",1.68,Atlanta Falcons,"$97,467,616 ","$34,590,391 ","$141,338,061 ",79.26
(Ankle),,,,,,,,,,,,Atlanta Falcons,"$97,467,616 ","$34,590,391 ","$141,338,061 ",79.26
Keanu Neal,FS,"$1,426,150 ","$1,502,299 ",-,-,-,-,-,"($6,344,973)","$2,928,449 ",1.64,Atlanta Falcons,"$97,467,616 ","$34,590,391 ","$141,338,061 ",79.26
(Knee-acl),,,,,,,,,,,,Atlanta Falcons,"$97,467,616 ","$34,590,391 ","$141,338,061 ",79.26
Derrick Shelby,DE,"$2,000,000 ",-,-,-,-,-,-,"($2,000,000)","$2,000,000 ",1.12,Atlanta Falcons,"$97,467,616 ","$34,590,391 ","$141,338,061 ",79.26
